form	lemma	POS	morph
༄༅། །		PUNCT
རྣལ་འབྱོར་	རྣལ་འབྱོར་	NOUN
སྤྱོད་པ་	སྤྱོད་པ་	VERB
བཞི་བརྒྱ་པ་	བཞི་བརྒྱ་པ་	PROPN
རྒྱན་	རྒྱན་	NOUN
གྱི་	གི་	PART
མེ་ཏོག་	མེ་ཏོག་	NOUN
ཅེས་	ཅེས་	PART
བྱ་	བྱ་	VERB
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
།།		PUNCT
རྒྱ་གར་	རྒྱ་གར་	PROPN
སྐད་	སྐད་	NOUN
དུ་	ལ་	PART
།		PUNCT
བོ་	པོ་	PART
དྷི་		NON_WORD
སཏྭ་		NON_WORD
ཡོ་ག་	ཡོ་ག་	NOUN
ཙརྻ་		NON_WORD
ཙ་	ཙ་	NOUN
ཏུ་	ལ་	PART
ཤ་	ཤ་	NOUN
ཏ་	ཏ་	OTHER
ཀ་	ཀ་	DET
ཨ་	ཨ་	X
ལཾ་		NON_WORD
ཀ་ར་	ཀ་ར་	OTHER
པུཥྤ་		NON_WORD
ནཱ་	ནཱ་	NO_POS
མཿ་		NON_WORD
བོད་སྐད་	བོད་སྐད་	PROPN
དུ་	ལ་	PART
།		PUNCT
བྱང་ཆུབ་	བྱང་ཆུབ་	NOUN
སེམས་དཔ་	སེམས་དཔའ་	NOUN
འི་	གི་	PART
རྣལ་འབྱོར་	རྣལ་འབྱོར་	NOUN
སྤྱོད་པ་	སྤྱོད་པ་	VERB
བཞི་བརྒྱ་པ་	བཞི་བརྒྱ་པ་	PROPN
འི་	གི་	PART
རྒྱན་	རྒྱན་	NOUN
གྱི་	གི་	PART
མེ་ཏོག་	མེ་ཏོག་	NOUN
ཅེས་བྱ་བ་	ཅེས་བྱ་བ་	NO_POS
།		PUNCT
ཕྱོགས་	ཕྱོགས་	NOUN
བཅུ་	བཅུ་	NUM
དུས་གསུམ་	དུས་གསུམ་	OTHER
གྱི་	གི་	PART
སངས་རྒྱས་	སངས་རྒྱས་	NOUN
དང་	དང་	NO_POS
བྱང་ཆུབ་	བྱང་ཆུབ་	NOUN
སེམས་དཔའ་	སེམས་དཔའ་	NOUN
ཐམས་ཅད་	ཐམས་ཅད་	DET
ལ་	ལ་	PART
ཕྱག་	ཕྱག་	NOUN
འཚལ་	འཚལ་	VERB
ལོ་	གོ་	PART
། །		PUNCT
འཁོར་འདས་	འཁོར་འདས་	NOUN
བླང་དོར་	བླང་དོར་	NOUN
གནས་	གནས་	NOUN
རྣམས་	རྣམས་	DET
མ་ལུས་པ་	མ་ལུས་པ་	OTHER
། །		PUNCT
སྒྲིབ་གཉིས་	སྒྲིབ་གཉིས་	OTHER
ཟད་པ་	ཟད་པ་	VERB
འི་	གི་	PART
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
མངོན་སུམ་	མངོན་སུམ་	NOUN
གྱིས་	གིས་	PART
། །		PUNCT
ཇི་བཞིན་	ཇི་བཞིན་	OTHER
རྟོགས་	རྟོགས་	VERB
ན་	ནས་	PART
འགྲོ་	འགྲོ་	VERB
ལ་	ལ་	PART
ཐུགས་	ཐུགས་	NOUN
བརྩེ་བ་	བརྩེ་བ་	VERB
ས་	གིས་	PART
། །		PUNCT
སྟོན་པ་	སྟོན་པ་	NOUN
རྫོགས་	རྫོགས་	VERB
སངས་རྒྱས་	སངས་རྒྱས་	NOUN
ལ་	ལ་	PART
གུས་ཕྱག་	གུས་ཕྱག་	NO_POS
འཚལ་	འཚལ་	VERB
། །		PUNCT
སིང་	སིང་	NO_POS
ག་	ག་	PRON
གླིང་	གླིང་	NOUN
དུ་	ལ་	PART
པདྨོ་		NON_WORD
ལ་	ལ་	ADP
ས་	གིས་	PART
འཁྲུངས་	འཁྲུངས་	NO_POS
ཤིང་	ཅིང་	PART
། །		PUNCT
རྒྱལ་བ་	རྒྱལ་བ་	NOUN
ས་	གིས་	PART
ལུང་བསྟན་	ལུང་བསྟན་	NOUN
འཕགས་པ་	འཕགས་པ་	VERB
འི་	གི་	PART
གནས་	གནས་	NOUN
ཐོབ་	ཐོབ་	VERB
ན་	ནས་	PART
། །		PUNCT
བརྩེར་		NON_WORD
ལྡན་	ལྡན་	VERB
རང་	རང་	PRON
གི་	གི་	PART
སྤྱན་	སྤྱན་	NOUN
ཡང་	ཀྱང་	PART
སྦྱིན་	སྦྱིན་	VERB
མཛད་པ་	མཛད་པ་	VERB
། །		PUNCT
རྒྱལ་སྲས་	རྒྱལ་སྲས་	NOUN
སྤྱོད་པ་	སྤྱོད་པ་	VERB
འི་	གི་	PART
གཞུང་	གཞུང་	NOUN
འདི་	འདི་	DET
ཁོ་བོ་	ཁོ་བོ་	PRON
ས་	གིས་	PART
བཤད་	བཤད་	VERB
། །		PUNCT
སློབ་དཔོན་	སློབ་དཔོན་	NOUN
འཕགས་པ་	འཕགས་པ་	VERB
ལྷ་	ལྷ་	NOUN
ནི་	ནི་	NO_POS
སིང་	སིང་	NO_POS
ག་	ག་	PRON
གླིང་	གླིང་	NOUN
གི་	གི་	PART
རྒྱལ་པོ་	རྒྱལ་པོ་	NOUN
འི་	གི་	PART
སྲ་	སྲ་	NOUN
སུ་	ལ་	PART
གྱུར་	གྱུར་	VERB
ཏེ་	སྟེ་	PART
། །		PUNCT
རྒྱལ་ཚབ་	རྒྱལ་ཚབ་	NOUN
བོ་	བོ་	VERB
།		PUNCT
དེ་ཉིད་	དེ་ཉིད་	NOUN
དུ་	ལ་	PART
རབ་ཏུ་	རབ་ཏུ་	NO_POS
བྱུང་	བྱུང་	VERB
སྟེ་	སྟེ་	PART
ལྷོ་ཕྱོགས་	ལྷོ་ཕྱོགས་	NOUN
དཔལ་	དཔལ་	OTHER
གྱི་	གི་	PART
རི་	རི་	NOUN
ར་	ལ་	PART
སློབ་དཔོན་	སློབ་དཔོན་	NOUN
ཀླུ་སྒྲུབ་	ཀླུ་སྒྲུབ་	PROPN
ཀྱི་	གི་	PART
དྲུང་	དྲུང་	NOUN
དུ་	ལ་	PART
བྱོན་	བྱོན་	VERB
ན་	ནས་	PART
དེ་	དེ་	DET
འི་	གི་	PART
ཉེ་	ཉེ་	VERB
གནས་	གནས་	NOUN
མཛད་	མཛད་	VERB
དེ་	སྟེ་	PART
གཞུང་ལུགས་	གཞུང་ལུགས་	NOUN
ཐམས་ཅད་	ཐམས་ཅད་	DET
ལ་	ལ་	PART
མཁས་པ་	མཁས་པ་	VERB
ར་	ལ་	PART
གྱུར་	གྱུར་	VERB
ཏོ་	གོ་	PART
། །		PUNCT
སློབ་དཔོན་	སློབ་དཔོན་	NOUN
འདི་	འདི་	DET
འཇམ་དཔལ་	འཇམ་དཔལ་	PROPN
རྩ་བ་	རྩ་བ་	NOUN
